2016-09-03 10:04:01	?	http://thursdaychurch.herokuapp.com/?/	Error: 	Exception: SQLSTATE[HY000]: General error: 2006 MySQL server has gone away (in C:\MAMP\htdocs\wire\core\WireSaveableItemsLookup.php line 71)  #0 C:\MAMP\htdocs\wire\core\WireSaveableItemsLookup.php(71): PDOStatement->execute() #1 C:\MAMP\htdocs\wire\core\Fieldgroups.php(100): WireSaveableItemsLookup->___load(Object(FieldgroupsArray), NULL) #2 C:\MAMP\htdocs\wire\core\Wire.php(398): Fieldgroups->___load(Object(FieldgroupsArray)) #3 C:\MAMP\htdocs\wire\core\Wire.php(333): Wire->runHooks('load', Array) #4 C:\MAMP\htdocs\wire\core\Fieldgroups.php(71): Wire->__call('load', Array) #5 C:\MAMP\htdocs\wire\core\ProcessWire.php(300): Fieldgroups->init() #6 C:\MAMP\htdocs\wire\core\ProcessWire.php(257): ProcessWire->initVar('fieldgroups', Object(Fieldgroups)) #7 C:\MAMP\htdocs\wire\core\ProcessWire.php(94): ProcessWire->load(Object(Config)) #8 C:\MAMP\htdocs\index.php(232): ProcessWire->__construct(Object(Config)) #9 {main}
2016-09-03 14:24:55	admin	http://dev.thursdaychurch.org/	Compile Error: 	require_once(): Failed opening required 'C:/MAMP/htdocs/site/templates/includes/includes/functions.inc' (include_path='.;C:\php\pear') (line 7 of C:\MAMP\htdocs\site\assets\cache\FileCompiler\site\templates\includes\head.inc)
2016-09-03 14:27:07	admin	http://dev.thursdaychurch.org/	Compile Error: 	require_once(): Failed opening required 'C:/MAMP/htdocs/site/templates/includes/includes/functions.inc' (include_path='.;C:\php\pear') (line 7 of C:\MAMP\htdocs\site\assets\cache\FileCompiler\site\templates\includes\head.inc)
2016-09-03 14:27:37	admin	http://dev.thursdaychurch.org/	Compile Error: 	require_once(): Failed opening required 'C:/MAMP/htdocs/site/templates/includes/includes/functions.inc' (include_path='.;C:\php\pear') (line 7 of C:\MAMP\htdocs\site\assets\cache\FileCompiler\site\templates\includes\head.inc)
2016-09-03 14:27:58	admin	http://dev.thursdaychurch.org/	Compile Error: 	require_once(): Failed opening required 'C:/MAMP/htdocs/site/templates/includes/includes/functions.inc' (include_path='.;C:\php\pear') (line 7 of C:\MAMP\htdocs\site\assets\cache\FileCompiler\site\templates\includes\head.inc)
2016-09-03 14:31:27	admin	http://dev.thursdaychurch.org/	Compile Error: 	require_once(): Failed opening required 'C:/MAMP/htdocs/site/templates/includes/includes/functions.inc' (include_path='.;C:\php\pear') (line 7 of C:\MAMP\htdocs\site\assets\cache\FileCompiler\site\templates\includes\head.inc)
2016-09-03 14:33:17	admin	http://dev.thursdaychurch.org/	Compile Error: 	require_once(): Failed opening required 'C:/MAMP/htdocs/site/templates/includes/includes/functions.inc' (include_path='.;C:\php\pear') (line 7 of C:\MAMP\htdocs\site\assets\cache\FileCompiler\site\templates\includes\head.inc)
2016-09-03 14:33:18	guest	http://thursdaychurch.herokuapp.com/http404/	Compile Error: 	require_once(): Failed opening required 'C:/MAMP/htdocs/site/templates/includes/includes/functions.inc' (include_path='.;C:\php\pear') (line 7 of C:\MAMP\htdocs\site\assets\cache\FileCompiler\site\templates\includes\head.inc)
2016-09-03 14:38:52	guest	http://thursdaychurch.herokuapp.com/stories/called-to-serve/	Compile Error: 	Cannot redeclare truncate() (previously declared in C:\MAMP\htdocs\site\assets\cache\FileCompiler\site\templates\includes\functions.inc:15) (line 108 of C:\MAMP\htdocs\site\assets\cache\FileCompiler\site\templates\includes\includes\functions.inc)
2016-09-03 14:38:54	guest	http://thursdaychurch.herokuapp.com/blog/what-giving-does/	Compile Error: 	Cannot redeclare truncate() (previously declared in C:\MAMP\htdocs\site\assets\cache\FileCompiler\site\templates\includes\functions.inc:15) (line 108 of C:\MAMP\htdocs\site\assets\cache\FileCompiler\site\templates\includes\includes\functions.inc)
2016-09-03 14:38:56	guest	http://thursdaychurch.herokuapp.com/blog/praying-for-others/	Compile Error: 	Cannot redeclare truncate() (previously declared in C:\MAMP\htdocs\site\assets\cache\FileCompiler\site\templates\includes\functions.inc:15) (line 108 of C:\MAMP\htdocs\site\assets\cache\FileCompiler\site\templates\includes\includes\functions.inc)
2016-09-03 14:39:09	guest	http://thursdaychurch.herokuapp.com/serve/parking-lot-attendants/	Compile Error: 	Cannot redeclare truncate() (previously declared in C:\MAMP\htdocs\site\assets\cache\FileCompiler\site\templates\includes\functions.inc:15) (line 108 of C:\MAMP\htdocs\site\assets\cache\FileCompiler\site\templates\includes\includes\functions.inc)
2016-09-03 14:39:14	guest	http://thursdaychurch.herokuapp.com/blog/diving-into-scripture/	Compile Error: 	Cannot redeclare truncate() (previously declared in C:\MAMP\htdocs\site\assets\cache\FileCompiler\site\templates\includes\functions.inc:15) (line 108 of C:\MAMP\htdocs\site\assets\cache\FileCompiler\site\templates\includes\includes\functions.inc)
2016-09-03 14:39:16	guest	http://thursdaychurch.herokuapp.com/serve/childrens-ministry/	Compile Error: 	Cannot redeclare truncate() (previously declared in C:\MAMP\htdocs\site\assets\cache\FileCompiler\site\templates\includes\functions.inc:15) (line 108 of C:\MAMP\htdocs\site\assets\cache\FileCompiler\site\templates\includes\includes\functions.inc)
